"id","test_id","result_key","result_value"
5296,"075ec500-a7b5-422b-9ce1-482040d4b9d7","device","kindle 4 beta browser "
5297,"075ec500-a7b5-422b-9ce1-482040d4b9d7","notes"," jk kindle 4"
5298,"075ec500-a7b5-422b-9ce1-482040d4b9d7","usage"," almost never, network only enabled for content download"
5299,"075ec500-a7b5-422b-9ce1-482040d4b9d7","user_agent","Mozilla/5.0 (Linux; U; de-DE) AppleWebKit/528.5+ (KHTML, like Gecko, Safari/528.5+) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
5300,"075ec500-a7b5-422b-9ce1-482040d4b9d7","timestamp","2020-03-26 13:43:36"
5301,"075ec500-a7b5-422b-9ce1-482040d4b9d7","user_agent","Mozilla/5.0 (Linux; U; de-DE) AppleWebKit/528.5+ (KHTML, like Gecko, Safari/528.5+) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
5302,"075ec500-a7b5-422b-9ce1-482040d4b9d7","timestamp","2020-03-26 13:43:59"
5303,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xcontenttypeoptions_nosniff","test_setup"
5304,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xcontenttypeoptions_none","test_setup"
5305,"075ec500-a7b5-422b-9ce1-482040d4b9d7","user_agent","Mozilla/5.0 (Linux; U; de-DE) AppleWebKit/528.5+ (KHTML, like Gecko, Safari/528.5+) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
5306,"075ec500-a7b5-422b-9ce1-482040d4b9d7","timestamp","2020-03-26 13:44:14"
5307,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_none","test_setup"
5308,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_none","test_setup"
5309,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_deny","test_setup"
5310,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_deny","test_setup"
5311,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_none","test_setup"
5312,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_sameorigin","test_setup"
5313,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_deny","test_setup"
5314,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_sameorigin","test_setup"
5315,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_allowfrom_valid","test_setup"
5316,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_sameorigin","test_setup"
5317,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_allowfrom_valid","test_setup"
5318,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_allowfrom_valid","test_setup"
5319,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_allowfrom_invalid","test_setup"
5320,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_allowfrom_invalid","test_setup"
5321,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_allowfrom_invalid","test_setup"
5322,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_sameorigin","test_setup"
5323,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_sameorigin","test_setup"
5324,"075ec500-a7b5-422b-9ce1-482040d4b9d7","xframeoptions_sameorigin","test_setup"
5325,"075ec500-a7b5-422b-9ce1-482040d4b9d7","user_agent","Mozilla/5.0 (Linux; U; de-DE) AppleWebKit/528.5+ (KHTML, like Gecko, Safari/528.5+) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
5326,"075ec500-a7b5-422b-9ce1-482040d4b9d7","timestamp","2020-03-26 13:46:04"
5327,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_none_httptohttp_setup","test_setup"
5328,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_none_httptohttps_setup","test_setup"
5329,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_none_httpstohttp_setup","test_setup"
5330,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_none_httpstohttps_setup","test_setup"
5331,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_noreferrerwhendowngrade_httptohttp_setup","test_setup"
5332,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_noreferrer_setup","test_setup"
5333,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_noreferrerwhendowngrade_httptohttps_setup","test_setup"
5334,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_noreferrerwhendowngrade_httpstohttp_setup","test_setup"
5335,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_noreferrerwhendowngrade_httpstohttps_setup","test_setup"
5336,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_sameorigin_sameorigin_setup","test_setup"
5337,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_sameorigin_crossorigin_setup","test_setup"
5338,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_origin_setup","test_setup"
5339,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictorigin_httptohttp_setup","test_setup"
5340,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictorigin_httptohttps_setup","test_setup"
5341,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictorigin_httpstohttp_setup","test_setup"
5342,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictorigin_httpstohttps_setup","test_setup"
5343,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_originwhencrossorigin_sameorigin_setup","test_setup"
5344,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_originwhencrossorigin_crossorigin_setup","test_setup"
5345,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictoriginwhencrossorigin_crossorigin_httptohttp_setup","test_setup"
5346,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictoriginwhencrossorigin_sameorigin_setup","test_setup"
5347,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictoriginwhencrossorigin_crossorigin_httptohttps_setup","test_setup"
5348,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictoriginwhencrossorigin_crossorigin_httpstohttp_setup","test_setup"
5349,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_strictoriginwhencrossorigin_crossorigin_httpstohttps_setup","test_setup"
5350,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_unsafeurl_sameorigin_setup","test_setup"
5351,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_unsafeurl_crossorigin_httptohttp_setup","test_setup"
5352,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_unsafeurl_crossorigin_httptohttps_setup","test_setup"
5353,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_unsafeurl_crossorigin_httpstohttps_setup","test_setup"
5354,"075ec500-a7b5-422b-9ce1-482040d4b9d7","referrerpolicy_unsafeurl_crossorigin_httpstohttp_setup","test_setup"
5355,"075ec500-a7b5-422b-9ce1-482040d4b9d7","user_agent","Mozilla/5.0 (Linux; U; de-DE) AppleWebKit/528.5+ (KHTML, like Gecko, Safari/528.5+) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
5356,"075ec500-a7b5-422b-9ce1-482040d4b9d7","timestamp","2020-03-26 13:46:24"
5357,"075ec500-a7b5-422b-9ce1-482040d4b9d7","cors_complex_setup","test_setup"
5358,"075ec500-a7b5-422b-9ce1-482040d4b9d7","cors_simple_setup","test_setup"
5359,"075ec500-a7b5-422b-9ce1-482040d4b9d7","user_agent","Mozilla/5.0 (Linux; U; de-DE) AppleWebKit/528.5+ (KHTML, like Gecko, Safari/528.5+) Version/4.0 Kindle/3.0 (screen 600x800; rotate)"
5360,"075ec500-a7b5-422b-9ce1-482040d4b9d7","timestamp","2020-03-26 13:46:47"
5361,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_self_setup","test_setup"
5362,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_none_setup","test_setup"
5363,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_self_check","frame_request_not_received"
5364,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_none_check","frame_request_not_received"
5365,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_https_setup","test_setup"
5366,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_http_setup","test_setup"
5367,"075ec500-a7b5-422b-9ce1-482040d4b9d7","contentsecuritypolicy_framesrc_http_check","frame_request_not_received"
